Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,56.270000,56.590000,55.099998,56.020000,53.100784,1631600
2021-01-05,55.990002,59.770000,55.750000,58.860001,55.792789,3947400
2021-01-06,58.619999,62.180000,58.619999,62.029999,58.797604,2774400
2021-01-07,62.000000,63.160000,61.810001,62.650002,59.385296,3019700
2021-01-08,63.270000,64.639999,62.290001,64.290001,60.939831,2437900
2021-01-11,63.900002,65.500000,63.500000,64.650002,61.281071,3151100
2021-01-12,65.330002,67.750000,65.080002,67.150002,63.650799,2041500
2021-01-13,66.570000,66.889999,65.730003,65.809998,62.380623,1410600
2021-01-14,66.360001,67.150002,65.910004,67.080002,63.584450,1475000
2021-01-15,66.150002,67.199997,64.940002,66.330002,62.873531,1505900
2021-01-19,66.690002,66.800003,64.199997,65.839996,62.409054,2631500
2021-01-20,66.500000,67.459999,66.279999,67.160004,63.660278,1044500
2021-01-21,67.849998,68.559998,67.580002,67.779999,64.247971,1650800
2021-01-22,67.330002,68.239998,65.769997,68.120003,64.570259,1780000
2021-01-25,69.580002,72.779999,68.000000,68.599998,65.025238,2578700
2021-01-26,69.099998,69.500000,66.690002,68.550003,64.977852,1954700
2021-01-27,69.980003,71.050003,67.040001,70.400002,66.731438,3328100
2021-01-28,70.440002,70.680000,67.180000,68.110001,64.560768,2928200
2021-01-29,68.019997,69.849998,66.709999,67.010002,63.518093,2089600
2021-02-01,67.739998,68.720001,66.849998,68.669998,65.091591,1619700
2021-02-02,68.320000,70.339996,67.669998,70.059998,66.409149,2344400
2021-02-03,70.580002,72.330002,69.980003,72.309998,68.541901,1407200
2021-02-04,73.000000,74.599998,72.879997,74.050003,70.191238,2147200
2021-02-05,74.120003,75.800003,73.239998,75.639999,71.698380,1572000
2021-02-08,76.029999,78.389999,76.029999,77.540001,73.499374,1276300
2021-02-09,77.040001,78.089996,76.379997,77.250000,73.224480,1435900
2021-02-10,77.970001,78.620003,76.040001,77.699997,73.651031,1719600
2021-02-11,78.750000,80.320000,76.000000,76.190002,72.219719,1629700
2021-02-12,74.730003,76.190002,74.540001,74.980003,71.072777,1983000
2021-02-16,75.349998,75.629997,73.080002,73.980003,70.124886,1517800
2021-02-17,73.760002,74.250000,72.150002,72.760002,68.968460,1597900
2021-02-18,72.930000,73.459999,71.190002,73.180000,69.366570,1633200
2021-02-19,73.300003,75.099998,73.260002,74.639999,70.750488,1083800
2021-02-22,74.129997,75.919998,73.980003,74.410004,70.532478,1275600
2021-02-23,72.680000,73.910004,70.250000,73.269997,69.451881,1055200
2021-02-24,73.709999,75.160004,72.660004,75.080002,71.167564,1064300
2021-02-25,75.320000,75.800003,72.839996,73.040001,69.233864,993200
2021-02-26,73.370003,73.720001,70.830002,71.370003,67.650894,1867200
2021-03-01,72.309998,75.230003,72.230003,74.000000,70.143845,1046600
2021-03-02,73.760002,75.879997,72.919998,72.949997,69.148552,1231000
2021-03-03,73.639999,74.650002,72.339996,72.400002,68.627213,1075500
2021-03-04,72.089996,73.150002,68.190002,69.860001,66.219582,1476800
2021-03-05,70.139999,71.790001,66.760002,71.690002,67.954224,2120300
2021-03-08,73.169998,78.440002,72.849998,76.680000,72.684189,4383300
2021-03-09,74.410004,75.260002,70.669998,71.820000,68.077438,4923000
2021-03-10,71.489998,71.870003,69.779999,71.529999,67.802551,3019200
2021-03-11,72.000000,74.639999,70.830002,73.699997,69.859474,2447500
2021-03-12,73.459999,76.070000,72.559998,75.639999,71.698380,1699900
2021-03-15,75.980003,78.970001,75.529999,78.300003,74.219765,1712400
2021-03-16,76.360001,76.879997,75.209999,76.580002,72.589401,1967300
2021-03-17,78.040001,79.000000,76.349998,78.660004,74.561012,1299900
2021-03-18,78.660004,79.730003,77.029999,77.620003,73.916313,1148300
2021-03-19,77.279999,81.120003,76.660004,80.580002,76.735069,1982200
2021-03-22,80.809998,80.919998,77.790001,79.089996,75.316162,1228600
2021-03-23,78.110001,79.300003,74.779999,75.320000,71.726059,1404700
2021-03-24,75.599998,76.639999,73.389999,73.879997,70.354759,1456900
2021-03-25,72.309998,77.529999,72.129997,76.559998,72.906883,2110400
2021-03-26,77.639999,79.720001,76.500000,78.169998,74.440063,1964400
2021-03-29,78.309998,78.860001,74.419998,75.309998,71.716530,1380600
2021-03-30,74.519997,78.260002,74.279999,77.489998,73.792511,2201300
2021-03-31,77.440002,78.389999,75.040001,76.150002,72.516457,1210400
2021-04-01,77.180000,79.330002,76.669998,79.269997,75.487572,2244700
2021-04-05,80.089996,80.980003,78.169998,80.550003,76.706505,1667200
2021-04-06,81.309998,84.050003,81.120003,82.019997,78.106361,2017400
2021-04-07,81.550003,82.480003,80.330002,81.349998,77.468330,1677700
2021-04-08,81.699997,82.349998,80.160004,81.900002,77.992088,1522400
2021-04-09,82.620003,83.360001,81.849998,82.160004,78.239685,1407100
2021-04-12,82.190002,83.650002,81.379997,83.500000,79.515739,1360200
2021-04-13,83.339996,83.680000,81.089996,82.180000,78.258720,1338900
2021-04-14,82.160004,83.440002,81.480003,81.629997,77.734962,1513200
2021-04-15,81.860001,82.470001,80.699997,81.790001,77.887337,957600
2021-04-16,81.900002,84.650002,81.870003,84.349998,80.325188,1846700
2021-04-19,85.419998,85.699997,83.620003,84.290001,80.268044,1546900
2021-04-20,84.010002,84.150002,81.339996,82.860001,78.906281,1691600
2021-04-21,83.000000,85.000000,82.510002,84.559998,80.525154,1398500
2021-04-22,85.449997,85.690002,83.480003,84.540001,80.506111,975100
2021-04-23,85.239998,86.389999,84.580002,85.940002,81.839317,935100
2021-04-26,86.440002,86.599998,82.910004,83.870003,79.868088,970300
2021-04-27,84.150002,85.860001,83.589996,83.769997,79.772850,2135100
2021-04-28,83.300003,83.660004,82.339996,82.709999,78.763435,1138900
2021-04-29,83.709999,84.410004,82.019997,83.129997,79.163391,1467700
2021-04-30,82.580002,82.779999,80.419998,82.580002,78.639641,1384400
2021-05-03,83.669998,86.400002,83.559998,85.980003,81.877411,1624000
2021-05-04,86.320000,87.500000,83.750000,87.430000,83.258217,1680400
2021-05-05,88.589996,89.180000,86.379997,86.769997,82.629707,1528500
2021-05-06,87.139999,88.620003,86.449997,87.730003,83.543907,1364700
2021-05-07,87.239998,89.760002,86.739998,89.660004,85.381813,851900
2021-05-10,89.730003,91.800003,88.970001,89.000000,84.753304,1109200
2021-05-11,87.410004,88.699997,85.160004,87.620003,83.439156,1282100
2021-05-12,87.349998,87.849998,82.959999,83.400002,79.420517,1304200
2021-05-13,84.000000,86.089996,84.000000,85.040001,80.982254,1148300
2021-05-14,85.260002,88.180000,85.120003,87.959999,83.762924,1002900
2021-05-17,88.889999,89.199997,87.089996,88.510002,84.286690,751100
2021-05-18,89.360001,89.360001,86.879997,86.930000,82.782074,1408900
2021-05-19,85.760002,86.190002,83.050003,85.949997,81.848839,1652100
2021-05-20,85.680000,86.750000,82.809998,83.599998,79.610970,2550900
2021-05-21,84.309998,85.080002,83.209999,83.290001,79.315758,1753700
2021-05-24,84.199997,86.279999,83.529999,85.190002,81.125107,2285200
2021-05-25,85.570000,86.830002,84.080002,84.169998,80.153770,1955900
2021-05-26,92.980003,99.900002,91.370003,98.400002,93.704781,12306000
2021-05-27,99.980003,101.300003,97.010002,98.760002,94.047600,3803200
